A,B,C,D
108,87,62,112
78,107,106,137
87,95,146,105
129,85,66,110
92,57,138,78
90,92,92,119
130,94,90,118
109,145,131,70
51,87,78,128
118,108,140,78
148,126,122,114
83,143,66,114
106,138,94,84
74,70,98,144
122,143,96,74
109,83,121,85
71,120,147,130
51,78,98,133
132,141,148,59
133,68,69,94
108,76,84,110
62,51,60,60
113,118,84,114
71,83,76,100
132,103,124,83
54,90,105,94
126,61,119,64
83,112,143,144
84,65,149,141
121,70,79,135
94,142,102,121
146,97,53,110
64,106,61,129
78,118,51,143
135,122,69,133
56,81,132,54
72,135,76,57
131,70,58,67
76,120,123,138
81,89,80,94
87,81,104,88
106,59,144,73
142,95,144,148
54,57,65,120
86,75,131,95
50,115,82,122
127,114,121,90
83,143,127,113
143,119,62,144
96,65,59,108
98,114,112,58
128,84,77,68
68,98,116,70
69,104,137,66
142,82,148,149
50,71,73,121
140,89,99,131
90,142,121,114
148,96,87,53
116,140,100,56
138,146,55,91
139,53,142,68
140,121,101,133
69,50,103,93
64,120,124,74
107,74,117,143
80,88,104,56
136,95,105,146
72,96,114,134
73,126,148,101
50,78,142,130
141,85,108,124
143,83,104,97
129,111,136,146
124,92,140,134
135,106,145,104
109,52,146,130
50,111,60,61
101,82,116,79
60,115,140,52
71,110,85,71
58,137,86,82
92,122,133,132
137,104,139,118
98,126,121,89
131,72,89,125
63,102,60,145
111,103,147,123
105,73,131,111
118,86,134,51
94,51,147,105
145,134,52,124
118,147,128,76
143,92,121,75
132,147,78,130
58,99,69,132
79,89,96,66
79,61,108,86
108,103,110,54
97,108,82,68
